name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	17	15	2	80	80	160	910	910	160	161	161	160	190	202	0	180	180	160	910	910	160	t < 800 ms	14	82	800 ms < t < 1200 ms	1	5	t > 1200 ms	0	0	failed	2	11	1	1	0
assessment result newest populate	1	1	0	80	80	-1	80	80	-1	80	80	-1	0	0	-1	80	80	-1	80	80	-1	t < 800 ms	1	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
coachmessages signup	1	1	0	90	90	-1	90	90	-1	90	90	-1	0	0	-1	90	90	-1	90	90	-1	t < 800 ms	1	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
coachmessages select	1	1	0	140	140	-1	140	140	-1	140	140	-1	0	0	-1	140	140	-1	140	140	-1	t < 800 ms	1	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
signin	1	1	0	90	90	-1	90	90	-1	90	90	-1	0	0	-1	90	90	-1	90	90	-1	t < 800 ms	1	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
user validation	1	1	0	910	910	-1	910	910	-1	910	910	-1	0	0	-1	910	910	-1	910	910	-1	t < 800 ms	0	0	800 ms < t < 1200 ms	1	100	t > 1200 ms	0	0	failed	0	0	0	0	-1
coachmessages home	1	1	0	80	80	-1	80	80	-1	80	80	-1	0	0	-1	80	80	-1	80	80	-1	t < 800 ms	1	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
notifications	3	3	0	90	90	-1	130	130	-1	103	103	-1	21	21	-1	130	130	-1	130	130	-1	t < 800 ms	3	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
coachmessages check	1	1	0	100	100	-1	100	100	-1	100	100	-1	0	0	-1	100	100	-1	100	100	-1	t < 800 ms	1	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
activityoffers	1	1	0	140	140	-1	140	140	-1	140	140	-1	0	0	-1	140	140	-1	140	140	-1	t < 800 ms	1	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
assessment	1	1	0	180	180	-1	180	180	-1	180	180	-1	0	0	-1	180	180	-1	180	180	-1	t < 800 ms	1	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
assessment result newest	2	2	0	90	90	-1	90	90	-1	90	90	-1	0	0	-1	90	90	-1	90	90	-1	t < 800 ms	2	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
assessment result answer	2	0	2	160	-1	160	160	-1	160	160	-1	160	0	-1	0	160	-1	160	160	-1	160	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	2	100	0	-1	0
signup	1	1	0	110	110	-1	110	110	-1	110	110	-1	0	0	-1	110	110	-1	110	110	-1	t < 800 ms	1	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1

