RUN	20140612152342	completeuserscenario	 
SCENARIO	Scenario Name	1	START	1402579423627
ACTION	Scenario Name	1	user validation	1402579423649	1402579424461	1402579424561	1402579424563	OK	 
ACTION	Scenario Name	1	signup	1402579425611	1402579425613	1402579425718	1402579425719	OK	 
ACTION	Scenario Name	1	signin	1402579425761	1402579425765	1402579425849	1402579425850	OK	 
ACTION	Scenario Name	1	coachmessages signup	1402579425874	1402579425875	1402579425964	1402579425964	OK	 
ACTION	Scenario Name	1	coachmessages home	1402579425965	1402579425966	1402579426049	1402579426049	OK	 
ACTION	Scenario Name	1	notifications	1402579426050	1402579426051	1402579426137	1402579426137	OK	 
ACTION	Scenario Name	1	activityoffers	1402579444109	1402579444111	1402579444249	1402579444251	OK	 
ACTION	Scenario Name	1	coachmessages select	1402579444360	1402579444361	1402579444501	1402579444502	OK	 
ACTION	Scenario Name	1	notifications	1402579444503	1402579444505	1402579444637	1402579444637	OK	 
ACTION	Scenario Name	1	assessment result newest	1402579446610	1402579446611	1402579446700	1402579446700	OK	 
ACTION	Scenario Name	1	assessment	1402579446759	1402579446761	1402579446937	1402579446940	OK	 
ACTION	Scenario Name	1	notifications	1402579447159	1402579447161	1402579447250	1402579447251	OK	 
ACTION	Scenario Name	1	coachmessages check	1402579447252	1402579447253	1402579447346	1402579447347	OK	 
ACTION	Scenario Name	1	assessment result answer	1402579448309	1402579448314	1402579448464	1402579448464	KO	Check 'in' failed, found 500 but expected List(200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 304)
ACTION	Scenario Name	1	assessment result answer	1402579449458	1402579449461	1402579449622	1402579449622	KO	Check 'in' failed, found 500 but expected List(200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 304)
ACTION	Scenario Name	1	assessment result newest	1402579450660	1402579450662	1402579450746	1402579450746	OK	 
ACTION	Scenario Name	1	assessment result newest populate	1402579450748	1402579450750	1402579450825	1402579450825	OK	 
SCENARIO	Scenario Name	1	END	1402579450825
