name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	5250	5250	0	80	80	-1	3160	3160	-1	567	567	-1	439	439	-1	1430	1430	-1	1930	1930	-1	t < 800 ms	3810	72	800 ms < t < 1200 ms	959	18	t > 1200 ms	481	9	failed	0	0	21	21	-1
activityPlan get	200	200	0	100	100	-1	2040	2040	-1	575	575	-1	403	403	-1	1260	1260	-1	1730	1730	-1	t < 800 ms	139	69	800 ms < t < 1200 ms	47	23	t > 1200 ms	14	7	failed	0	0	1	1	-1
activityOffer view	200	200	0	100	100	-1	3160	3160	-1	857	857	-1	656	656	-1	2010	2010	-1	2930	2930	-1	t < 800 ms	107	53	800 ms < t < 1200 ms	36	18	t > 1200 ms	57	28	failed	0	0	1	1	-1
activityPlan post	200	200	0	140	140	-1	2560	2560	-1	728	728	-1	540	540	-1	1750	1750	-1	2320	2320	-1	t < 800 ms	128	64	800 ms < t < 1200 ms	34	17	t > 1200 ms	38	19	failed	0	0	1	1	-1
assessment result newest populate	50	50	0	100	100	-1	1950	1950	-1	721	721	-1	474	474	-1	1760	1760	-1	1950	1950	-1	t < 800 ms	28	56	800 ms < t < 1200 ms	15	30	t > 1200 ms	7	14	failed	0	0	0	0	-1
coachmessages schedule	200	200	0	90	90	-1	1320	1320	-1	450	450	-1	292	292	-1	970	970	-1	1170	1170	-1	t < 800 ms	170	85	800 ms < t < 1200 ms	28	14	t > 1200 ms	2	1	failed	0	0	1	1	-1
coachmessages signup	50	50	0	80	80	-1	220	220	-1	120	120	-1	32	32	-1	200	200	-1	220	220	-1	t < 800 ms	50	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
coachmessages focus	50	50	0	100	100	-1	1420	1420	-1	531	531	-1	385	385	-1	1280	1280	-1	1420	1420	-1	t < 800 ms	36	72	800 ms < t < 1200 ms	11	22	t > 1200 ms	3	6	failed	0	0	0	0	-1
coachmessages select	250	250	0	80	80	-1	1760	1760	-1	466	466	-1	356	356	-1	1140	1140	-1	1480	1480	-1	t < 800 ms	205	82	800 ms < t < 1200 ms	33	13	t > 1200 ms	12	4	failed	0	0	1	1	-1
signin	50	50	0	80	80	-1	330	330	-1	122	122	-1	52	52	-1	260	260	-1	330	330	-1	t < 800 ms	50	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
