RUN	20140612153252	completeuserscenario	 
SCENARIO	Scenario Name	1	START	1402579972907
ACTION	Scenario Name	1	user validation	1402579972922	1402579973475	1402579973572	1402579973573	OK	 
ACTION	Scenario Name	1	signup	1402579974593	1402579974595	1402579974744	1402579974745	OK	 
ACTION	Scenario Name	1	signin	1402579974842	1402579974844	1402579974992	1402579974993	OK	 
ACTION	Scenario Name	1	coachmessages signup	1402579975015	1402579975016	1402579975128	1402579975129	OK	 
ACTION	Scenario Name	1	coachmessages home	1402579975130	1402579975131	1402579975223	1402579975223	OK	 
ACTION	Scenario Name	1	notifications	1402579975225	1402579975226	1402579975369	1402579975369	OK	 
ACTION	Scenario Name	1	activityoffers	1402579993341	1402579993343	1402579993499	1402579993501	OK	 
ACTION	Scenario Name	1	coachmessages select	1402579993591	1402579993592	1402579993735	1402579993735	OK	 
ACTION	Scenario Name	1	notifications	1402579993737	1402579993738	1402579993833	1402579993834	OK	 
ACTION	Scenario Name	1	assessment result newest	1402579995841	1402579995843	1402579995940	1402579995940	OK	 
ACTION	Scenario Name	1	assessment	1402579995942	1402579995943	1402579996123	1402579996126	OK	 
ACTION	Scenario Name	1	notifications	1402579996341	1402579996343	1402579996439	1402579996439	OK	 
ACTION	Scenario Name	1	coachmessages check	1402579996441	1402579996442	1402579996561	1402579996561	OK	 
ACTION	Scenario Name	1	assessment result answer	1402579997542	1402579997547	1402579997719	1402579997720	OK	 
ACTION	Scenario Name	1	assessment result answer	1402579998740	1402579998743	1402579998897	1402579998897	OK	 
ACTION	Scenario Name	1	assessment result newest	1402579999890	1402579999892	1402579999987	1402579999988	OK	 
ACTION	Scenario Name	1	assessment result newest populate	1402580000041	1402580000043	1402580000137	1402580000137	OK	 
SCENARIO	Scenario Name	1	END	1402580000138
