name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	17	17	0	90	90	-1	650	650	-1	161	161	-1	125	125	-1	180	180	-1	650	650	-1	t < 800 ms	17	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1	1	-1
assessment result newest populate	1	1	0	100	100	-1	100	100	-1	100	100	-1	0	0	-1	100	100	-1	100	100	-1	t < 800 ms	1	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
coachmessages signup	1	1	0	110	110	-1	110	110	-1	110	110	-1	0	0	-1	110	110	-1	110	110	-1	t < 800 ms	1	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
coachmessages select	1	1	0	140	140	-1	140	140	-1	140	140	-1	0	0	-1	140	140	-1	140	140	-1	t < 800 ms	1	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
signin	1	1	0	150	150	-1	150	150	-1	150	150	-1	0	0	-1	150	150	-1	150	150	-1	t < 800 ms	1	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
user validation	1	1	0	650	650	-1	650	650	-1	650	650	-1	0	0	-1	650	650	-1	650	650	-1	t < 800 ms	1	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
coachmessages home	1	1	0	90	90	-1	90	90	-1	90	90	-1	0	0	-1	90	90	-1	90	90	-1	t < 800 ms	1	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
notifications	3	3	0	100	100	-1	140	140	-1	113	113	-1	21	21	-1	140	140	-1	140	140	-1	t < 800 ms	3	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
coachmessages check	1	1	0	120	120	-1	120	120	-1	120	120	-1	0	0	-1	120	120	-1	120	120	-1	t < 800 ms	1	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
activityoffers	1	1	0	160	160	-1	160	160	-1	160	160	-1	0	0	-1	160	160	-1	160	160	-1	t < 800 ms	1	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
assessment	1	1	0	180	180	-1	180	180	-1	180	180	-1	0	0	-1	180	180	-1	180	180	-1	t < 800 ms	1	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
assessment result newest	2	2	0	100	100	-1	100	100	-1	100	100	-1	0	0	-1	100	100	-1	100	100	-1	t < 800 ms	2	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
assessment result answer	2	2	0	160	160	-1	180	180	-1	170	170	-1	10	10	-1	180	180	-1	180	180	-1	t < 800 ms	2	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
signup	1	1	0	150	150	-1	150	150	-1	150	150	-1	0	0	-1	150	150	-1	150	150	-1	t < 800 ms	1	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1

