name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	8500	8500	0	70	70	-1	28570	28570	-1	7485	7485	-1	6048	6048	-1	17800	17800	-1	24400	24400	-1	t < 800 ms	1534	18	800 ms < t < 1200 ms	399	4	t > 1200 ms	6567	77	failed	0	0	40	40	-1
assessment result newest populate	500	500	0	70	70	-1	20890	20890	-1	7006	7006	-1	6578	6578	-1	18090	18090	-1	19360	19360	-1	t < 800 ms	139	27	800 ms < t < 1200 ms	22	4	t > 1200 ms	339	67	failed	0	0	2	2	-1
coachmessages signup	500	500	0	110	110	-1	16110	16110	-1	5540	5540	-1	4823	4823	-1	14370	14370	-1	15750	15750	-1	t < 800 ms	90	18	800 ms < t < 1200 ms	57	11	t > 1200 ms	353	70	failed	0	0	2	2	-1
coachmessages select	500	500	0	330	330	-1	15980	15980	-1	8818	8818	-1	3867	3867	-1	14530	14530	-1	15470	15470	-1	t < 800 ms	6	1	800 ms < t < 1200 ms	3	0	t > 1200 ms	491	98	failed	0	0	2	2	-1
signin	500	500	0	110	110	-1	11470	11470	-1	3356	3356	-1	2970	2970	-1	9890	9890	-1	10540	10540	-1	t < 800 ms	119	23	800 ms < t < 1200 ms	72	14	t > 1200 ms	309	61	failed	0	0	2	2	-1
user validation	500	500	0	330	330	-1	6620	6620	-1	1835	1835	-1	1436	1436	-1	4780	4780	-1	5830	5830	-1	t < 800 ms	174	34	800 ms < t < 1200 ms	70	14	t > 1200 ms	256	51	failed	0	0	2	2	-1
coachmessages home	500	500	0	130	130	-1	15920	15920	-1	5656	5656	-1	4594	4594	-1	13300	13300	-1	14500	14500	-1	t < 800 ms	91	18	800 ms < t < 1200 ms	49	9	t > 1200 ms	360	72	failed	0	0	2	2	-1
notifications	1500	1500	0	90	90	-1	20930	20930	-1	10269	10269	-1	5766	5766	-1	18350	18350	-1	20130	20130	-1	t < 800 ms	82	5	800 ms < t < 1200 ms	60	4	t > 1200 ms	1358	90	failed	0	0	7	7	-1
coachmessages check	500	500	0	90	90	-1	16100	16100	-1	7785	7785	-1	4505	4505	-1	14570	14570	-1	15290	15290	-1	t < 800 ms	46	9	800 ms < t < 1200 ms	5	1	t > 1200 ms	449	89	failed	0	0	2	2	-1
activityoffers	500	500	0	370	370	-1	28570	28570	-1	15803	15803	-1	7362	7362	-1	26510	26510	-1	27750	27750	-1	t < 800 ms	1	0	800 ms < t < 1200 ms	3	0	t > 1200 ms	496	99	failed	0	0	2	2	-1
assessment	500	500	0	390	390	-1	20660	20660	-1	11417	11417	-1	5075	5075	-1	18730	18730	-1	19720	19720	-1	t < 800 ms	5	1	800 ms < t < 1200 ms	5	1	t > 1200 ms	490	98	failed	0	0	2	2	-1
assessment result newest	1000	1000	0	70	70	-1	15710	15710	-1	7315	7315	-1	4575	4575	-1	14150	14150	-1	15050	15050	-1	t < 800 ms	134	13	800 ms < t < 1200 ms	17	1	t > 1200 ms	849	84	failed	0	0	5	5	-1
assessment result answer	1000	1000	0	130	130	-1	20480	20480	-1	7172	7172	-1	4885	4885	-1	14430	14430	-1	15420	15420	-1	t < 800 ms	153	15	800 ms < t < 1200 ms	30	3	t > 1200 ms	817	81	failed	0	0	5	5	-1
signup	500	500	0	120	120	-1	1150	1150	-1	253	253	-1	120	120	-1	450	450	-1	810	810	-1	t < 800 ms	494	98	800 ms < t < 1200 ms	6	1	t > 1200 ms	0	0	failed	0	0	2	2	-1

