name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
request_104	100	0	100	0	-1	0	1500	-1	1500	816	-1	816	465	-1	465	1500	-1	1500	1500	-1	1500	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	100	100	0	-1	0
request_109	100	0	100	0	-1	0	2120	-1	2120	582	-1	582	625	-1	625	1510	-1	1510	1520	-1	1520	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	100	100	0	-1	0
request_107	100	0	100	0	-1	0	2350	-1	2350	365	-1	365	785	-1	785	2270	-1	2270	2340	-1	2340	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	100	100	0	-1	0
request_108	100	0	100	0	-1	0	2250	-1	2250	131	-1	131	508	-1	508	1500	-1	1500	2250	-1	2250	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	100	100	0	-1	0
request_88	100	0	100	0	-1	0	2100	-1	2100	551	-1	551	468	-1	468	970	-1	970	2100	-1	2100	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	100	100	0	-1	0
request_89	100	0	100	0	-1	0	1470	-1	1470	82	-1	82	298	-1	298	570	-1	570	1310	-1	1310	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	100	100	0	-1	0
request_76	100	7	93	0	4690	0	6530	6530	2210	1036	5343	712	1464	693	876	4730	6530	2050	5900	6530	2200	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	7	7	failed	93	93	0	0	0
request_75	100	7	93	0	2510	0	2860	2860	20	191	2669	5	681	124	5	2520	2860	10	2850	2860	10	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	7	7	failed	93	93	0	0	0
request_74	100	7	93	0	1730	0	2610	2610	10	154	2154	4	555	316	5	1760	2610	10	2540	2610	10	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	7	7	failed	93	93	0	0	0
request_73	100	7	93	0	3060	0	3970	3970	2190	286	3549	40	930	328	245	3310	3970	20	3960	3970	960	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	7	7	failed	93	93	0	0	0
request_72	100	7	93	0	3020	0	4190	4190	2200	526	3790	280	1101	394	655	3630	4190	2190	4170	4190	2200	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	7	7	failed	93	93	0	0	0
request_71	100	7	93	0	3330	0	3820	3820	2200	451	3649	211	1049	167	594	3480	3820	2140	3800	3820	2200	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	7	7	failed	93	93	0	0	0
request_70	100	9	91	0	2570	0	4830	4830	3720	870	3132	646	966	847	631	2790	4830	1420	4580	4830	3590	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	9	9	failed	91	91	0	0	0
request_120	100	0	100	0	-1	0	1220	-1	1220	77	-1	77	278	-1	278	1000	-1	1000	1220	-1	1220	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	100	100	0	-1	0
request_110	100	0	100	0	-1	0	2270	-1	2270	190	-1	190	502	-1	502	1460	-1	1460	1480	-1	1480	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	100	100	0	-1	0
request_111	100	0	100	0	-1	0	1420	-1	1420	552	-1	552	440	-1	440	1410	-1	1410	1420	-1	1420	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	100	100	0	-1	0
