name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	41	15	26	80	80	130	1180	1180	260	173	199	158	164	265	33	250	210	250	1180	1180	260	t < 800 ms	14	34	800 ms < t < 1200 ms	1	2	t > 1200 ms	0	0	failed	26	63	1	0	0
assessment result newest populate	1	1	0	80	80	-1	80	80	-1	80	80	-1	0	0	-1	80	80	-1	80	80	-1	t < 800 ms	1	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
coachmessages signup	1	1	0	140	140	-1	140	140	-1	140	140	-1	0	0	-1	140	140	-1	140	140	-1	t < 800 ms	1	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
coachmessages select	1	1	0	120	120	-1	120	120	-1	120	120	-1	0	0	-1	120	120	-1	120	120	-1	t < 800 ms	1	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
signin	1	1	0	100	100	-1	100	100	-1	100	100	-1	0	0	-1	100	100	-1	100	100	-1	t < 800 ms	1	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
user validation	1	1	0	1180	1180	-1	1180	1180	-1	1180	1180	-1	0	0	-1	1180	1180	-1	1180	1180	-1	t < 800 ms	0	0	800 ms < t < 1200 ms	1	100	t > 1200 ms	0	0	failed	0	0	0	0	-1
coachmessages home	1	1	0	200	200	-1	200	200	-1	200	200	-1	0	0	-1	200	200	-1	200	200	-1	t < 800 ms	1	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
notifications	3	3	0	90	90	-1	140	140	-1	107	107	-1	22	22	-1	140	140	-1	140	140	-1	t < 800 ms	3	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
coachmessages check	1	1	0	90	90	-1	90	90	-1	90	90	-1	0	0	-1	90	90	-1	90	90	-1	t < 800 ms	1	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
activityoffers	1	1	0	150	150	-1	150	150	-1	150	150	-1	0	0	-1	150	150	-1	150	150	-1	t < 800 ms	1	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
assessment	1	1	0	210	210	-1	210	210	-1	210	210	-1	0	0	-1	210	210	-1	210	210	-1	t < 800 ms	1	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
assessment result newest	2	2	0	100	100	-1	120	120	-1	110	110	-1	10	10	-1	120	120	-1	120	120	-1	t < 800 ms	2	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
assessment result answer	26	0	26	130	-1	130	260	-1	260	158	-1	158	33	-1	33	250	-1	250	260	-1	260	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	26	100	0	-1	0
signup	1	1	0	170	170	-1	170	170	-1	170	170	-1	0	0	-1	170	170	-1	170	170	-1	t < 800 ms	1	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1

