name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	176	176	0	10	10	-1	100	100	-1	15	15	-1	10	10	-1	30	30	-1	50	50	-1	t < 800 ms	176	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	3	3	-1
request_93	4	4	0	10	10	-1	30	30	-1	15	15	-1	9	9	-1	30	30	-1	30	30	-1	t < 800 ms	4	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
request_92	4	4	0	10	10	-1	20	20	-1	13	13	-1	2	2	-1	20	20	-1	20	20	-1	t < 800 ms	4	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
request_91	4	4	0	10	10	-1	10	10	-1	10	10	-1	0	0	-1	10	10	-1	10	10	-1	t < 800 ms	4	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
request_28	4	4	0	10	10	-1	10	10	-1	10	10	-1	0	0	-1	10	10	-1	10	10	-1	t < 800 ms	4	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
request_31	4	4	0	10	10	-1	30	30	-1	15	15	-1	9	9	-1	30	30	-1	30	30	-1	t < 800 ms	4	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
request_29	4	4	0	10	10	-1	20	20	-1	13	13	-1	2	2	-1	20	20	-1	20	20	-1	t < 800 ms	4	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
request_32	4	4	0	10	10	-1	10	10	-1	10	10	-1	0	0	-1	10	10	-1	10	10	-1	t < 800 ms	4	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
request_26	4	4	0	20	20	-1	30	30	-1	23	23	-1	0	0	-1	30	30	-1	30	30	-1	t < 800 ms	4	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
request_27	4	4	0	10	10	-1	10	10	-1	10	10	-1	0	0	-1	10	10	-1	10	10	-1	t < 800 ms	4	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
request_30	4	4	0	30	30	-1	40	40	-1	33	33	-1	0	0	-1	40	40	-1	40	40	-1	t < 800 ms	4	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
request_90	4	4	0	10	10	-1	20	20	-1	15	15	-1	5	5	-1	20	20	-1	20	20	-1	t < 800 ms	4	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
request_24	4	4	0	10	10	-1	10	10	-1	10	10	-1	0	0	-1	10	10	-1	10	10	-1	t < 800 ms	4	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
request_25	4	4	0	10	10	-1	10	10	-1	10	10	-1	0	0	-1	10	10	-1	10	10	-1	t < 800 ms	4	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
request_23	4	4	0	10	10	-1	50	50	-1	23	23	-1	16	16	-1	50	50	-1	50	50	-1	t < 800 ms	4	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
signin	4	4	0	10	10	-1	20	20	-1	13	13	-1	2	2	-1	20	20	-1	20	20	-1	t < 800 ms	4	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
user validation	4	4	0	10	10	-1	100	100	-1	33	33	-1	39	39	-1	100	100	-1	100	100	-1	t < 800 ms	4	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
request_33	104	104	0	10	10	-1	60	60	-1	15	15	-1	7	7	-1	30	30	-1	30	30	-1	t < 800 ms	104	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	2	2	-1
request_89	4	4	0	10	10	-1	20	20	-1	13	13	-1	2	2	-1	20	20	-1	20	20	-1	t < 800 ms	4	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
signup	4	4	0	10	10	-1	10	10	-1	10	10	-1	0	0	-1	10	10	-1	10	10	-1	t < 800 ms	4	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1

